,0,1
EXC,logisticregression,50.0
AON,logisticregression,52.39
VLO,xbg,53.779999999999994
PRGO,xbg,51.99
ALB,xbg,54.379999999999995
HES,xbg,52.99
HIG,logisticregression,48.61
TYL,logisticregression,55.58
FDX,randomforest,52.59
ZTS,randomforest,51.39
CMS,logisticregression,52.99
CSCO,logisticregression,51.39
HPE,xbg,51.39
AXP,xbg,50.6
ISRG,logisticregression,53.98
TROW,xbg,52.39
AZO,logisticregression,49.6
CAG,logisticregression,52.190000000000005
MLM,logisticregression,52.39
AVY,randomforest,50.6
AAP,randomforest,51.0
AMD,logisticregression,52.59
SPG,logisticregression,48.209999999999994
PNC,xbg,53.190000000000005
RTX,xbg,55.58
WHR,randomforest,54.379999999999995
URI,randomforest,52.190000000000005
MA,xbg,57.17
CBOE,randomforest,51.2
KMX,logisticregression,54.17999999999999
TT,logisticregression,50.6
BIO,randomforest,53.59
WY,xbg,52.59
DISH,logisticregression,51.790000000000006
UDR,logisticregression,49.0
L,randomforest,55.379999999999995
WEC,xbg,57.769999999999996
AME,logisticregression,55.379999999999995
ACN,logisticregression,51.99
SHW,xbg,48.61
WLTW,logisticregression,49.8
COO,randomforest,57.97
AWK,logisticregression,52.190000000000005
CMG,xbg,52.190000000000005
CHTR,logisticregression,52.190000000000005
MSCI,randomforest,53.39
CCL,xbg,51.99
HPQ,logisticregression,52.39
CFG,randomforest,50.8
HUM,logisticregression,49.6
APH,randomforest,51.2
ADM,xbg,50.4
FCX,xbg,52.790000000000006
MSI,logisticregression,49.6
KLAC,xbg,50.6
SYY,logisticregression,47.61
NDAQ,xbg,50.8
ATVI,xbg,55.58
GD,logisticregression,53.779999999999994
EL,logisticregression,54.379999999999995
EVRG,logisticregression,53.59
GS,randomforest,53.190000000000005
PKI,xbg,51.59
LNC,randomforest,49.0
BAC,xbg,53.779999999999994
LNT,logisticregression,50.2
RE,logisticregression,48.61
GPN,logisticregression,54.98
PSX,logisticregression,55.379999999999995
PM,randomforest,55.379999999999995
EIX,logisticregression,51.2
AMAT,randomforest,50.0
BBY,xbg,54.17999999999999
LVS,logisticregression,54.58
WBA,xbg,50.4
GE,logisticregression,50.4
VRSN,logisticregression,47.010000000000005
DTE,logisticregression,52.190000000000005
AJG,logisticregression,50.0
HCA,xbg,52.790000000000006
ANSS,xbg,51.99
MSFT,xbg,50.8
MGM,logisticregression,52.59
CTAS,logisticregression,49.4
CTLT,xbg,50.4
TER,xbg,53.59
MDT,xbg,49.2
CTXS,randomforest,55.379999999999995
FLT,logisticregression,52.190000000000005
RF,logisticregression,49.4
INCY,randomforest,51.99
HSIC,logisticregression,51.39
SCHW,xbg,48.41
NVR,logisticregression,49.4
UAL,xbg,51.790000000000006
KR,xbg,52.39
FB,randomforest,53.190000000000005
DVN,randomforest,48.61
TPR,logisticregression,52.790000000000006
MRO,randomforest,52.190000000000005
CHRW,logisticregression,51.2
NVDA,randomforest,52.190000000000005
BIIB,logisticregression,53.779999999999994
IDXX,logisticregression,52.190000000000005
SNA,xbg,51.99
TJX,xbg,50.8
MRK,logisticregression,49.0
MPC,randomforest,52.59
STX,logisticregression,51.59
AMZN,randomforest,52.59
BXP,logisticregression,50.0
NOC,logisticregression,51.0
INTC,logisticregression,50.2
IPG,randomforest,51.59
KHC,xbg,50.6
ODFL,randomforest,52.59
MNST,logisticregression,48.8
UNP,xbg,48.41
IPGP,logisticregression,53.39
LOW,randomforest,50.4
NWS,xbg,54.58
REG,xbg,50.6
INTU,logisticregression,55.17999999999999
PAYC,logisticregression,51.59
AIZ,logisticregression,53.59
XEL,logisticregression,51.99
EBAY,xbg,51.99
FMC,xbg,51.99
SBUX,logisticregression,56.37
DLR,logisticregression,50.0
FTV,logisticregression,50.8
ORCL,logisticregression,50.6
MET,randomforest,53.190000000000005
TFX,xbg,54.779999999999994
TDG,xbg,51.0
DISCK,xbg,54.17999999999999
ARE,logisticregression,53.190000000000005
FLIR,logisticregression,52.39
LUMN,xbg,52.99
SYK,logisticregression,51.99
PYPL,logisticregression,50.2
CMCSA,logisticregression,51.790000000000006
TSN,logisticregression,50.2
NOW,randomforest,54.779999999999994
PEG,xbg,54.779999999999994
FE,logisticregression,52.59
ADSK,logisticregression,50.6
PEP,xbg,53.190000000000005
PCAR,xbg,49.6
EXPE,logisticregression,49.4
FTNT,logisticregression,48.41
LLY,logisticregression,49.0
PH,logisticregression,50.6
JNPR,randomforest,54.17999999999999
PPG,logisticregression,55.17999999999999
