,training method,accuracty
MCHP,randomforest,51.99
HRL,logisticregression,51.39
SEE,randomforest,49.6
DFS,logisticregression,49.4
CDNS,randomforest,47.410000000000004
CME,logisticregression,50.6
FRC,logisticregression,50.6
ZBH,randomforest,52.790000000000006
FRT,randomforest,52.790000000000006
XOM,randomforest,52.39
SWKS,logisticregression,54.379999999999995
CVX,randomforest,51.2
ENPH,logisticregression,51.790000000000006
AMP,randomforest,52.190000000000005
QRVO,logisticregression,54.17999999999999
CI,logisticregression,49.8
MU,logisticregression,56.97
ICE,logisticregression,46.61
PNW,randomforest,53.98
BEN,logisticregression,47.81
BKR,randomforest,51.39
UHS,randomforest,52.59
GILD,randomforest,53.39
ROP,logisticregression,49.8
WM,logisticregression,50.4
NLSN,randomforest,53.39
EQIX,logisticregression,51.0
O,randomforest,52.790000000000006
VRTX,randomforest,47.81
EXC,logisticregression,50.0
AON,logisticregression,52.39
VLO,randomforest,48.41
PRGO,randomforest,50.4
ALB,randomforest,51.790000000000006
HES,logisticregression,49.2
HIG,logisticregression,48.61
TYL,logisticregression,55.58
FDX,randomforest,52.59
ZTS,randomforest,51.39
CMS,logisticregression,52.99
CSCO,logisticregression,51.39
HPE,randomforest,50.6
AXP,randomforest,49.2
ISRG,logisticregression,53.98
TROW,logisticregression,50.2
AZO,logisticregression,49.6
CAG,logisticregression,52.190000000000005
MLM,logisticregression,52.39
AVY,randomforest,50.6
AAP,randomforest,51.0
AMD,logisticregression,52.59
SPG,logisticregression,48.209999999999994
PNC,randomforest,51.59
RTX,randomforest,53.779999999999994
WHR,randomforest,54.379999999999995
URI,randomforest,52.190000000000005
MA,randomforest,54.98
CBOE,randomforest,51.2
KMX,logisticregression,54.17999999999999
TT,logisticregression,50.6
BIO,randomforest,53.59
WY,randomforest,50.6
DISH,logisticregression,51.790000000000006
UDR,logisticregression,49.0
L,randomforest,55.379999999999995
WEC,logisticregression,51.59
AME,logisticregression,55.379999999999995
ACN,logisticregression,51.99
SHW,logisticregression,48.209999999999994
WLTW,logisticregression,49.8
COO,randomforest,57.97
AWK,logisticregression,52.190000000000005
CMG,logisticregression,50.4
CHTR,logisticregression,52.190000000000005
MSCI,randomforest,53.39
CCL,logisticregression,49.2
HPQ,logisticregression,52.39
CFG,randomforest,50.8
HUM,logisticregression,49.6
APH,randomforest,51.2
ADM,randomforest,50.2
FCX,randomforest,52.59
MSI,logisticregression,49.6
KLAC,randomforest,48.010000000000005
SYY,logisticregression,47.61
NDAQ,logisticregression,49.0
ATVI,randomforest,52.790000000000006
GD,logisticregression,53.779999999999994
EL,logisticregression,54.379999999999995
EVRG,logisticregression,53.59
GS,randomforest,53.190000000000005
PKI,logisticregression,49.6
LNC,randomforest,49.0
BAC,randomforest,49.0
LNT,logisticregression,50.2
RE,logisticregression,48.61
GPN,logisticregression,54.98
PSX,logisticregression,55.379999999999995
PM,randomforest,55.379999999999995
EIX,logisticregression,51.2
AMAT,randomforest,50.0
BBY,randomforest,53.59
LVS,logisticregression,54.58
WBA,logisticregression,50.2
GE,logisticregression,50.4
VRSN,logisticregression,47.010000000000005
DTE,logisticregression,52.190000000000005
AJG,logisticregression,50.0
HCA,logisticregression,50.6
ANSS,logisticregression,49.0
MSFT,logisticregression,50.8
MGM,logisticregression,52.59
CTAS,logisticregression,49.4
CTLT,logisticregression,48.41
TER,logisticregression,52.190000000000005
MDT,logisticregression,47.61
CTXS,randomforest,55.379999999999995
FLT,logisticregression,52.190000000000005
RF,logisticregression,49.4
INCY,randomforest,51.99
HSIC,logisticregression,51.39
SCHW,logisticregression,48.010000000000005
NVR,logisticregression,49.4
UAL,logisticregression,49.8
KR,randomforest,48.8
FB,randomforest,53.190000000000005
DVN,randomforest,48.61
TPR,logisticregression,52.790000000000006
MRO,randomforest,52.190000000000005
CHRW,logisticregression,51.2
NVDA,randomforest,52.190000000000005
BIIB,logisticregression,53.779999999999994
IDXX,logisticregression,52.190000000000005
SNA,randomforest,51.39
TJX,logisticregression,49.2
MRK,logisticregression,49.0
MPC,randomforest,52.59
STX,logisticregression,51.59
AMZN,randomforest,52.59
BXP,logisticregression,50.0
NOC,logisticregression,51.0
INTC,logisticregression,50.2
IPG,randomforest,51.59
KHC,logisticregression,50.0
ODFL,randomforest,52.59
MNST,logisticregression,48.8
UNP,logisticregression,47.81
IPGP,logisticregression,53.39
LOW,randomforest,50.4
NWS,randomforest,52.99
REG,logisticregression,47.21
INTU,logisticregression,55.17999999999999
PAYC,logisticregression,51.59
AIZ,logisticregression,53.59
XEL,logisticregression,51.99
EBAY,randomforest,50.0
FMC,randomforest,49.4
SBUX,logisticregression,56.37
DLR,logisticregression,50.0
FTV,logisticregression,50.8
ORCL,logisticregression,50.6
MET,randomforest,53.190000000000005
TFX,logisticregression,54.379999999999995
TDG,logisticregression,51.0
DISCK,randomforest,53.779999999999994
ARE,logisticregression,53.190000000000005
FLIR,logisticregression,52.39
LUMN,randomforest,51.0
SYK,logisticregression,51.99
PYPL,logisticregression,50.2
CMCSA,logisticregression,51.790000000000006
TSN,logisticregression,50.2
