Date,Open,High,Low,Close,Volume,sgn,ma5,ma10,ma20,ma30,ma60,ma_vol5,ma_vol10,ma_vol20,ma_vol30,ma_vol60,Pre1Close,Pre2Close,Pre3Close,Pre4Close,Pre5Close,Pre1ma5,Pre2ma5,Pre3ma5,Pre4ma5,Pre5ma5,Pre1ma10,Pre2ma10,Pre3ma10,Pre4ma10,Pre5ma10,Pre1ma20,Pre2ma20,Pre3ma20,Pre4ma20,Pre5ma20,Pre1ma30,Pre2ma30,Pre3ma30,Pre4ma30,Pre5ma30,Pre1ma60,Pre2ma60,Pre3ma60,Pre4ma60,Pre5ma60,Pre1ma_vol5,Pre2ma_vol5,Pre3ma_vol5,Pre4ma_vol5,Pre5ma_vol5,Pre1ma_vol10,Pre2ma_vol10,Pre3ma_vol10,Pre4ma_vol10,Pre5ma_vol10,Pre1ma_vol20,Pre2ma_vol20,Pre3ma_vol20,Pre4ma_vol20,Pre5ma_vol20,Pre1ma_vol30,Pre2ma_vol30,Pre3ma_vol30,Pre4ma_vol30,Pre5ma_vol30,Pre1ma_vol60,Pre2ma_vol60,Pre3ma_vol60,Pre4ma_vol60,Pre5ma_vol60,predict
2018-02-09,105.80999755859376,107.91999816894531,101.5500030517578,105.94000244140624,3923900,1,108.61800079345706,111.73199996948242,113.68800086975098,112.37766723632812,112.9653334299723,2923140.0,2175540.0,2250435.0,2115910.0,2589968.333333333,104.80999755859376,110.54000091552734,112.62000274658205,109.18000030517578,111.63999938964844,109.7580001831055,111.91000061035156,112.9260009765625,113.40599975585936,114.84599914550782,112.91599960327149,114.12200012207032,114.7580001831055,115.36900024414062,116.19400024414062,114.0540008544922,114.38700103759766,114.46550102233887,114.40550079345705,114.48850059509277,112.33233388264972,112.29866739908856,112.07700068155924,111.80400060017904,111.66566721598309,113.27700004577636,113.582000096639,113.77966677347818,113.96666666666668,114.20366668701172,2500020.0,2208000.0,2112020.0,1794340.0,1427940.0,1966780.0,1830170.0,1892370.0,1776430.0,1777940.0,2190040.0,2119465.0,2131925.0,2063790.0,2038460.0,2022173.333333333,1964363.333333333,1962166.666666667,1988030.0,1975466.666666667,2544848.333333333,2509396.666666666,2507160.0,2469621.666666666,2435248.333333333,0
2018-02-12,107.01000213623048,109.20999908447266,104.73999786376952,108.37999725341795,1994100,1,108.45800018310548,110.93199996948242,113.3115005493164,112.48800048828123,112.70716667175293,2743800.0,2269070.0,2222490.0,2153350.0,2602781.666666666,105.94000244140624,104.80999755859376,110.54000091552734,112.62000274658205,109.18000030517578,108.61800079345706,109.7580001831055,111.91000061035156,112.9260009765625,113.40599975585936,111.73199996948242,112.91599960327149,114.12200012207032,114.7580001831055,115.36900024414062,113.68800086975098,114.0540008544922,114.38700103759766,114.46550102233887,114.40550079345705,112.37766723632812,112.33233388264972,112.29866739908856,112.07700068155924,111.80400060017904,112.9653334299723,113.27700004577636,113.582000096639,113.77966677347818,113.96666666666668,2923140.0,2500020.0,2208000.0,2112020.0,1794340.0,2175540.0,1966780.0,1830170.0,1892370.0,1776430.0,2250435.0,2190040.0,2119465.0,2131925.0,2063790.0,2115910.0,2022173.333333333,1964363.333333333,1962166.666666667,1988030.0,2589968.333333333,2544848.333333333,2509396.666666666,2507160.0,2469621.666666666,0
2018-02-13,106.5,110.1999969482422,106.2300033569336,109.79000091552734,1339000,1,107.89199981689451,110.40900039672852,113.20200042724608,112.653333791097,112.47000007629394,2382640.0,2247330.0,2154490.0,2162370.0,2601063.333333333,108.37999725341795,105.94000244140624,104.80999755859376,110.54000091552734,112.62000274658205,108.45800018310548,108.61800079345706,109.7580001831055,111.91000061035156,112.9260009765625,110.93199996948242,111.73199996948242,112.91599960327149,114.12200012207032,114.7580001831055,113.3115005493164,113.68800086975098,114.0540008544922,114.38700103759766,114.46550102233887,112.48800048828123,112.37766723632812,112.33233388264972,112.29866739908856,112.07700068155924,112.70716667175293,112.9653334299723,113.27700004577636,113.582000096639,113.77966677347818,2743800.0,2923140.0,2500020.0,2208000.0,2112020.0,2269070.0,2175540.0,1966780.0,1830170.0,1892370.0,2222490.0,2250435.0,2190040.0,2119465.0,2131925.0,2153350.0,2115910.0,2022173.333333333,1964363.333333333,1962166.666666667,2602781.666666666,2589968.333333333,2544848.333333333,2509396.666666666,2507160.0,0
2018-02-14,108.36000061035156,110.33999633789062,107.41000366210938,109.91999816894531,1923900,1,107.76799926757812,109.83899993896485,113.04800033569336,112.74666697184244,112.18533337910972,2447480.0,2327740.0,2104075.0,2158480.0,2607375.0,109.79000091552734,108.37999725341795,105.94000244140624,104.80999755859376,110.54000091552734,107.89199981689451,108.45800018310548,108.61800079345706,109.7580001831055,111.91000061035156,110.40900039672852,110.93199996948242,111.73199996948242,112.91599960327149,114.12200012207032,113.20200042724608,113.3115005493164,113.68800086975098,114.0540008544922,114.38700103759766,112.653333791097,112.48800048828123,112.37766723632812,112.33233388264972,112.29866739908856,112.47000007629394,112.70716667175293,112.9653334299723,113.27700004577636,113.582000096639,2382640.0,2743800.0,2923140.0,2500020.0,2208000.0,2247330.0,2269070.0,2175540.0,1966780.0,1830170.0,2154490.0,2222490.0,2250435.0,2190040.0,2119465.0,2162370.0,2153350.0,2115910.0,2022173.333333333,1964363.333333333,2601063.333333333,2602781.666666666,2589968.333333333,2544848.333333333,2509396.666666666,0
2018-02-15,111.16000366210938,114.70999908447266,110.01000213623048,113.5199966430664,2555000,0,109.50999908447264,109.63399963378906,113.09650001525878,112.88466695149741,111.9525000254313,2347180.0,2423600.0,2150565.0,2178520.0,2625610.0,109.91999816894531,109.79000091552734,108.37999725341795,105.94000244140624,104.80999755859376,107.76799926757812,107.89199981689451,108.45800018310548,108.61800079345706,109.7580001831055,109.83899993896485,110.40900039672852,110.93199996948242,111.73199996948242,112.91599960327149,113.04800033569336,113.20200042724608,113.3115005493164,113.68800086975098,114.0540008544922,112.74666697184244,112.653333791097,112.48800048828123,112.37766723632812,112.33233388264972,112.18533337910972,112.47000007629394,112.70716667175293,112.9653334299723,113.27700004577636,2447480.0,2382640.0,2743800.0,2923140.0,2500020.0,2327740.0,2247330.0,2269070.0,2175540.0,1966780.0,2104075.0,2154490.0,2222490.0,2250435.0,2190040.0,2158480.0,2162370.0,2153350.0,2115910.0,2022173.333333333,2607375.0,2601063.333333333,2602781.666666666,2589968.333333333,2544848.333333333,0
2018-02-16,113.58000183105469,114.52999877929688,112.0999984741211,112.9499969482422,1584200,1,110.91199798583985,109.76499938964844,112.97949981689452,112.91400019327801,111.73033332824707,1879240.0,2401190.0,2089565.0,2159370.0,2622243.333333333,113.5199966430664,109.91999816894531,109.79000091552734,108.37999725341795,105.94000244140624,109.50999908447264,107.76799926757812,107.89199981689451,108.45800018310548,108.61800079345706,109.63399963378906,109.83899993896485,110.40900039672852,110.93199996948242,111.73199996948242,113.09650001525878,113.04800033569336,113.20200042724608,113.3115005493164,113.68800086975098,112.88466695149741,112.74666697184244,112.653333791097,112.48800048828123,112.37766723632812,111.9525000254313,112.18533337910972,112.47000007629394,112.70716667175293,112.9653334299723,2347180.0,2447480.0,2382640.0,2743800.0,2923140.0,2423600.0,2327740.0,2247330.0,2269070.0,2175540.0,2150565.0,2104075.0,2154490.0,2222490.0,2250435.0,2178520.0,2158480.0,2162370.0,2153350.0,2115910.0,2625610.0,2607375.0,2601063.333333333,2602781.666666666,2589968.333333333,0
2018-02-20,112.51000213623048,115.05999755859376,112.0,114.2699966430664,1354300,0,112.08999786376951,110.2739990234375,112.82149963378906,113.02833353678385,111.50633328755696,1751280.0,2247540.0,2011985.0,2125040.0,2617433.333333333,112.9499969482422,113.5199966430664,109.91999816894531,109.79000091552734,108.37999725341795,110.91199798583985,109.50999908447264,107.76799926757812,107.89199981689451,108.45800018310548,109.76499938964844,109.63399963378906,109.83899993896485,110.40900039672852,110.93199996948242,112.97949981689452,113.09650001525878,113.04800033569336,113.20200042724608,113.3115005493164,112.91400019327801,112.88466695149741,112.74666697184244,112.653333791097,112.48800048828123,111.73033332824707,111.9525000254313,112.18533337910972,112.47000007629394,112.70716667175293,1879240.0,2347180.0,2447480.0,2382640.0,2743800.0,2401190.0,2423600.0,2327740.0,2247330.0,2269070.0,2089565.0,2150565.0,2104075.0,2154490.0,2222490.0,2159370.0,2178520.0,2158480.0,2162370.0,2153350.0,2622243.333333333,2625610.0,2607375.0,2601063.333333333,2602781.666666666,0
2018-02-21,114.18000030517578,115.72000122070312,112.31999969482422,112.37000274658205,2045100,1,112.60599822998049,110.2489990234375,112.50349960327148,113.06000035603842,111.24966672261557,1892500.0,2137570.0,2014970.0,2133806.666666666,2627026.666666666,114.2699966430664,112.9499969482422,113.5199966430664,109.91999816894531,109.79000091552734,112.08999786376951,110.91199798583985,109.50999908447264,107.76799926757812,107.89199981689451,110.2739990234375,109.76499938964844,109.63399963378906,109.83899993896485,110.40900039672852,112.82149963378906,112.97949981689452,113.09650001525878,113.04800033569336,113.20200042724608,113.02833353678385,112.91400019327801,112.88466695149741,112.74666697184244,112.653333791097,111.50633328755696,111.73033332824707,111.9525000254313,112.18533337910972,112.47000007629394,1751280.0,1879240.0,2347180.0,2447480.0,2382640.0,2247540.0,2401190.0,2423600.0,2327740.0,2247330.0,2011985.0,2089565.0,2150565.0,2104075.0,2154490.0,2125040.0,2159370.0,2178520.0,2158480.0,2162370.0,2617433.333333333,2622243.333333333,2625610.0,2607375.0,2601063.333333333,0
2018-02-22,112.73999786376952,114.76000213623048,111.9000015258789,112.38999938964844,1817200,1,113.0999984741211,110.43399887084959,112.27799949645996,113.06933364868163,110.96450004577636,1871160.0,2159320.0,1994745.0,2132750.0,2640420.0,112.37000274658205,114.2699966430664,112.9499969482422,113.5199966430664,109.91999816894531,112.60599822998049,112.08999786376951,110.91199798583985,109.50999908447264,107.76799926757812,110.2489990234375,110.2739990234375,109.76499938964844,109.63399963378906,109.83899993896485,112.50349960327148,112.82149963378906,112.97949981689452,113.09650001525878,113.04800033569336,113.06000035603842,113.02833353678385,112.91400019327801,112.88466695149741,112.74666697184244,111.24966672261557,111.50633328755696,111.73033332824707,111.9525000254313,112.18533337910972,1892500.0,1751280.0,1879240.0,2347180.0,2447480.0,2137570.0,2247540.0,2401190.0,2423600.0,2327740.0,2014970.0,2011985.0,2089565.0,2150565.0,2104075.0,2133806.666666666,2125040.0,2159370.0,2178520.0,2158480.0,2627026.666666666,2617433.333333333,2622243.333333333,2625610.0,2607375.0,0
2018-02-23,113.66999816894531,115.04000091552734,112.37999725341795,115.02999877929688,1818700,1,113.40199890136721,111.45599899291992,112.18599929809572,113.18800023396808,110.71099993387857,1723900.0,2035540.0,2001160.0,2138540.0,2631778.333333333,112.38999938964844,112.37000274658205,114.2699966430664,112.9499969482422,113.5199966430664,113.0999984741211,112.60599822998049,112.08999786376951,110.91199798583985,109.50999908447264,110.43399887084959,110.2489990234375,110.2739990234375,109.76499938964844,109.63399963378906,112.27799949645996,112.50349960327148,112.82149963378906,112.97949981689452,113.09650001525878,113.06933364868163,113.06000035603842,113.02833353678385,112.91400019327801,112.88466695149741,110.96450004577636,111.24966672261557,111.50633328755696,111.73033332824707,111.9525000254313,1871160.0,1892500.0,1751280.0,1879240.0,2347180.0,2159320.0,2137570.0,2247540.0,2401190.0,2423600.0,1994745.0,2014970.0,2011985.0,2089565.0,2150565.0,2132750.0,2133806.666666666,2125040.0,2159370.0,2178520.0,2640420.0,2627026.666666666,2617433.333333333,2622243.333333333,2625610.0,0
